Name,Position,HS,City,State,Height,Inches,Weight,CompRating,Offerer,Year,NatRank,PosRank,StRank,Stars,CommittedTo,15,Place,lon,lat
JaDarian Rhym,CB,Valdosta,Valdosta,GA,6,1,170,0.9286,Florida,2022,182,22,20,4,Auburn,//247sports.com/player/jadarian-rhym-46101331,"Valdosta, Valdosta, GA",-83.2784851,30.8327022
Austin Ausberry,CB,University Lab,Baton Rouge,LA,6,0,195,0.9275,Florida,2022,185,23,13,4,Auburn,//247sports.com/player/austin-ausberry-46099542,"University Lab, Baton Rouge, LA",-91.18714659999999,30.4514677
Bobby Taylor,CB,Katy,Katy,TX,6,1,180,0.9233,Florida,2022,193,25,30,4,Texas A&M,//247sports.com/player/bobby-taylor-46081751,"Katy, Katy, TX",-95.8549085,29.7839259
Jacolby Spells,CB,American Heritage,Fort Lauderdale,FL,5,11,170,0.9175,Florida,2022,211,27,25,4,West Virginia,//247sports.com/player/jacolby-spells-46094391,"American Heritage, Fort Lauderdale, FL",-80.1391798,26.1352626
Trevell Mullen,CB,Coconut Creek,Pompano Beach,FL,5,11,170,0.9096,Florida,2022,245,30,28,4,Indiana,//247sports.com/player/trevell-mullen-46080152,"Coconut Creek, Pompano Beach, FL",-80.1749246,26.2412643
Jaeden Gould,CB,Bergen Catholic,Oradell,NJ,6,2,190,0.9084,Florida,2022,254,31,3,4,Nebraska,//247sports.com/player/jaeden-gould-46081131,"Bergen Catholic, Oradell, NJ",-74.0481415,40.959635
Ephesians Prysock,CB,Bishop Alemany,Mission Hills,CA,6,3,170,0.908,Florida,2022,256,32,20,4,Arizona,//247sports.com/player/ephesians-prysock-46081223,"Bishop Alemany, Mission Hills, CA",-118.4612937,34.2749238
Cam Miller,CB,Trinity Christian Academy,Jacksonville,FL,6,0,180,0.9005,Florida,2022,296,33,33,4,Penn State,//247sports.com/player/cam-miller-46102671,"Trinity Christian Academy, Jacksonville, FL",-81.79624489999999,30.3100098
Ryan Turner,CB,Chaminade-Madonna Prep,Hollywood,FL,6,0,180,0.8939,Florida,2022,350,37,40,4,Ohio State,//247sports.com/player/ryan-turner-46110117,"Chaminade-Madonna Prep, Hollywood, FL",-80.19581939999999,26.0150846
Nikai Martinez,CB,Apopka,Apopka,FL,5,11,175,0.8925,Florida,2022,365,38,46,4,UCF,//247sports.com/player/nikai-martinez-46085987,"Apopka, Apopka, FL",-81.5322149,28.6934076
Khamari Terrell,CB,Shoemaker,Killeen,TX,6,1,180,0.8897,Florida,2022,388,39,56,3,Oregon,//247sports.com/player/khamari-terrell-46117828,"Shoemaker, Killeen, TX",-97.7018153,31.1312114
